서른즈음에
세월 베고 길게 누운 구름한조각
송인 
시절인연
어느 60대 노부부 이야기
진정인가요
엄마의 노래
임영웅 여백
김필 청춘
역전인생
초혼
파트너
피차
울면서 후회하여
왠수
날울린당신
사랑참
가라지
가지마
한많은대동강
간대요글쎄
잘가라
서울가실라
내가바보야 진성
좋은당신
고맙소
처녀 뱃사공 금과은
고향으로 가는 길
그물
이미자 기러기 아빠
기억
용두산 엘레지
내일또 해는 뜬다
나보다 더 사랑해요
나쁜남자
나야나
나이가 든다는게 화가나
사랑아 다시한번
날울린 당신
남자는 말합니다
장민호 남자의 인생
내이름 아시죠
정동원 눈물비
유지나 미운사내
윤태화 님이여
딱한번 인생
오승근 떠나는 임아
막걸리 한잔
명자
목포행 완행열차
미워요
항구의 남자
보라빛 엽서
빈지게
사내
사랑이 좋아
사랑한다 안한다
사랑합니다
사모
산다는건
딱좋아 바람길
김용임 비익조
빙점
테스형
사랑아 다시한번
몰래한 사랑
중수라 어느날 문득
임영웅 어느날 문득
ㅈ장윤정 해바라기
김용임 훨훨훨
임수경 연인들의 이야기
장미여관 봉숙이
장미여관 나는 행복한 사람
이문세 가을이 오면
강진 붓
금과은 처녀뱃사공
금과은 꽃길
금과은 내일을 기다려
오승근 떠나는 님아
엄영운 별빛 같은 나의 사랑
진성 보리고개
금과은 빗속을 둘이서
장정철 우리사랑
울엄마
유심초 사랑하는 그대에게
이진관 올늘처럼
장철웅 이룰수 없는 사랑
패리김 그대 내 친구여
김지애 미스터 유
진성 님의등불
강진 삼각관계
추가연 소풍같은 인생
이은하 겨울장미
이은하 봄비
이은하 미소를 띄우며 나를 보낸 그모습 처럼
이은하 아직도 그대는 내사랑
박상민 멀어져간 사람아
이문세 사랑이 지나가면
박중훈 비와당신
김현식 추억만들기
설운도 사랑이 이런건가요
설운도 갈매기 사랑
김수희 수은등
김수희 사랑은 창밖의 빗물 같아요
영탁 이불
임영웅 사랑은 늘 도망가
어니언스 편지
